,UMAP1,UMAP2,UMAP3,esg_rating,ticker,dividend_yield,dividend_yield_qtl,quality_score,quality_score_qtl,carbon_intensity,carbon_intensity_qtl,aum_qtl,aum,investment_strategy,asset_class,asset_region,subsegment,grade
203,4.074385,4.7394753,7.6946697,BBB,VTWO,1.45,Q2,5.2,Q1,143.46,Q3,Q4,6450000000.0,standard,equity,us,small_cap,A
204,19.741613,15.552169,2.4798071,A,SPIB,,Q4,6.66,Q3,227.15,Q3,Q4,6450000000.0,standard,fixed_income,us,corporate,A
205,14.040162,4.7999783,-0.85226834,A,PRF,2.53,Q3,6.39,Q3,179.74,Q3,Q4,6280000000.0,standard,equity,us,large_cap,A
206,11.881249,8.623343,-1.4355979,A,IHI,0.83,Q1,6.25,Q2,17.09,Q1,Q4,6250000000.0,standard,equity,us,not_specified,A
207,13.775387,8.6469145,16.94919,,GLDM,,Q4,,Q4,,Q4,Q4,6240000000.0,standard,commodities,global,not_specified,A
208,18.045713,8.7657,14.310829,AA,BBCA,3.15,Q4,7.35,Q4,284.66,Q4,Q4,6180000000.0,standard,equity,america_wo_us,total_market,A
209,19.75776,15.521559,2.4960332,A,VCLT,,Q4,6.47,Q3,418.18,Q4,Q4,6170000000.0,standard,fixed_income,us,corporate,A
210,13.94512,4.884417,-0.7693495,A,MGV,2.7,Q3,6.51,Q3,188.81,Q3,Q4,6160000000.0,standard,equity,us,large_cap,A
211,12.3382635,9.060069,-1.2380503,A,SCHH,3.85,Q4,6.11,Q2,88.02,Q2,Q4,6140000000.0,standard,equity,us,not_specified,
212,2.6827276,14.566876,3.186413,AA,ICSH,,Q4,7.23,Q4,261.75,Q4,Q4,6120000000.0,standard,fixed_income,us,broad_based,A
213,12.83291,5.6433654,-0.7583638,A,DFAX,3.34,Q4,6.68,Q3,238.12,Q3,Q4,5980000000.0,standard,equity,global,total_market,A
214,11.683825,9.190555,-1.565143,BBB,FDN,0.23,Q1,5.55,Q1,9.97,Q1,Q4,5950000000.0,standard,equity,us,not_specified,A
215,4.1367993,4.8189535,7.6268377,BBB,DFAS,1.4,Q2,5.55,Q1,156.91,Q3,Q4,5930000000.0,standard,equity,us,small_cap,A
216,8.264828,7.2313766,6.7188115,BBB,INDA,1.2,Q1,5.38,Q1,534.48,Q4,Q4,5850000000.0,standard,equity,brics,total_market,D
217,15.505384,12.313864,0.7870625,AA,DFIV,4.27,Q4,7.43,Q4,172.92,Q3,Q4,5830000000.0,standard,equity,dev_markets,total_market,A
218,13.171947,10.726147,-2.2786016,A,ITA,1.16,Q1,6.12,Q2,31.6,Q1,Q4,5700000000.0,standard,equity,us,not_specified,A
219,2.7554712,14.58343,3.1743236,A,BLV,,Q4,6.05,Q2,442.86,Q4,Q4,5690000000.0,standard,fixed_income,us,broad_based,A
220,14.69022,12.814677,0.7835938,,JIRE,2.8,Q3,,Q4,,Q4,Q4,5610000000.0,standard,equity,dev_markets,total_market,A
